date,boss_desc,rubrikabrax,meryde
2022-01-11,"Ashvey est le Méryde des reflets. Il passe son temps à reproduire l’image des êtres et des objets dans des flaques d’eau ou des miroirs, pour ensuite les collectionner. Ses préférées : celles des jolies filles qui s’admirent dans leur glace... Mais rassurez-vous, il ferme les yeux dès qu’elles se déshabillent !","Au Shakopark, les attractions, ce n’est pas ce qui manque ! Entre les manèges, les distributeurs de bonbons et les Robomates, impossible de s’ennuyer ! Mais l'endroit le plus tordant, c'est bien sûr le labyrinthe des miroirs déformants !","Aujourd’hui, les habitants du Monde des Douze vont se dédoubler ! Que ce soit dans leur bouclier ou leur cuillère à café, ils ne cesseront de tomber nez à nez avec leur reflet ! Si bien qu’à la fin de la journée, ils ne pourront plus se voir en peinture !"
2022-01-12,"Rojers est le Méryde de la couleur grise. D’humeur lugubre, il a horreur de la couleur ! Le blanc ? Trop sage. Le noir ? Trop classique. Alors, son passe-temps favori, c’est de tout repeindre en gris : le ciel, les cheveux des Enutrofs, ou encore la matière… grise, évidemment !","La nuit, tous les Chachas sont gris. Sauf les noirs. – Proverbe Iop.","Aujourd’hui, vous allez voir la vie en gris ! Un gris plus triste encore que celui d’une toison crasseuse de bouftou sauvage ! Le seul moyen de vous consoler ? Tomber sur un gisement de minerai d’argent ! Une découverte grisante qui vous fera à coup sûr voir la vie en rose, cette fois !"
2022-01-13,"Katlestyn est la Méryde du rube. C’est à cause d’elle si, chaque année, vous avez la goutte au nez ! Le bruit des mouchoirs qui font la trompette et celui des reniflements : elle adore ! Mettez-vous à éternuer et elle sera comblée !","Albert Paisse est l’inventeur d’un vaccin contre le Rube. On raconte qu’il aurait commencé ses recherches après avoir vécu une expérience traumatisante ! Un de ses amis lui aurait soufflé à l’oreille : « Tu sais, j’aa… aaa… ATCHOUM ! » Des paroles d’une rare violence… s’il en est !","Aujourb’hui, vous allez être balade, gomblèdebent balade ! Brébarez vos bouchoirs ! Rediflebents inzessants, toux zèche, borve au dez : vous zerez gâdés ! D’oubliez bas de bettre vodre bain devant votre bouche ! Voilà ze gue z’est de ze probeder doude la jourdée dans les endroits endeigés !"
2022-01-14,Guigui est le Méryde des frissons. Il adore voir vos poils de bras se dresser lorsque vous embrassez votre bien-aimé(e)... ou quand vous surprenez une Enutrof en train de se changer ! Entendre un « brrr » ou voir quelqu’un frémir : ça le fait frissonner de joie !,"La tour des Miss Moches est un endroit qui donne froid dans le dos. Son ambiance lugubre et ses décorations de mauvais goût font fuir n’importe quel aventurier ! Mais si l’un d’eux a assez de courage pour rencontrer les occupantes des lieux, qu’il se prépare à connaître… le grand frisson !","Aujourd’hui, gare aux frissons ! Si vous visitez une région froide ou un endroit lugubre, méfiance : vous ne cesserez de grelotter ! Et à force de claquer des dents, vous pourriez bien finir par les perdre. Alors c’est vous cette fois qui ferez trembler le monde dentier… euh, entier !"
2022-01-15,"Poupline est la Méryde de l’odorat. C’est grâce à elle si l’on peut sentir la bonne odeur du pain qui sort du four, celle des fleurs qui embaument les jardins... ou encore celle des aisselles des Bworks quand ils dansent un peu trop longtemps le Bwork N’Roll !","On dit que l’argent n’a pas d’odeur. Eh bien, c’est faux ! Pour Ruel, les kamas ont un parfum magique et indescriptible… Ce serait un subtil mélange de bonheur, de jubilation et d’extase… avec un soupçon d’arnaque !","Aujourd’hui, les habitants du Monde des Douze vont avoir du nez ! Autant dire que cette journée, ils la sentiront... passer ! Qu’il s’agisse des effluves nauséabonds des marécages ou de l’agréable parfum des champs de fleurs : aucune odeur ne pourra leur échapper ! "
2022-01-16,Bubba est le Méryde de la famille. Rien ne le rend plus heureux que de voir les membres de plusieurs générations se réunir autour d’un bon repas. C’est grâce à lui si vos anniversaires et fêtes de fin d’année sont aussi chaleureux... ou s’ils finissent en lancer d’assiettes et en règlements de comptes !,"Pour Yugo, la famille, c’est important ! Impossible de vivre sans ! Ça tombe bien, car de ce côté-là il est servi ! Entre son papa Alibert, ses amis de la Confrérie du Tofu et les membres du peuple Eliatrope, il aura toujours quelqu’un sur qui compter !","Aujourd’hui, place à la famille ! Mais si vous voulez en savoir plus sur votre arbre généalogique, il va falloir vous armer de courage… et vous jeter à l’eau ! Car vous pourriez bien devoir interroger votre grand-tante acariâtre… ou le fantôme de votre arrière-cousin, mort étouffé par un Tofu ventripotent."
2022-01-17,Kia est la Méryde de l’Araknophobie. C’est elle qui vous fait bondir de terreur à la vue d’une petite Arakne ! Pourquoi ? Dans quel but provoque-t-elle cette peur panique des bestioles à 8 pattes ? Aucune explication : Kia agit sans raison. Elle a tout simplement une Arakne au plafond !,"Aria Knofob est une Féca de l’Âge des Dofus qui souffre d’Araknophobie. À chaque fois qu’elle tombe nez à nez avec une Arakne, elle se retrouve immédiatement paralysée par la peur ! Ce qui laisse pas mal de temps à la bestiole pour tisser une toile ou deux !","Aujourd’hui, c’est Araknophobie ! Au menu : pattes velues, hurlements de jeunes filles (et parfois de jeunes hommes) et toiles solidement tissées ! Un conseil : si vous avez peur des Araknes, ne mettez pas les pieds dans votre grenier ! Ou munissez-vous d’une chaussure pour les écraser..."
2022-01-18,"Yêcetu est la Méryde de la pêche. Elle protège les pêcheurs des intempéries et fait en sorte qu’ils ne rentrent pas bredouilles le soir. Pour cela, elle charme les poissons en leur chantant une petite chanson. À tous les coups, ils tombent dans ses filets... et mordent à l’hameçon !","À bord de leur bateau, les héros de la Confrérie du Tofu s’occupent comme ils le peuvent ! Pendant que certains font la cuisine, Yugo et Amalia, eux, s’essayent à la pêche ! Et autant dire que faire preuve de patience pour quelques vulgaires poissons, ça n’est pas le point fort de la Princesse Sadida.","Aujourd’hui, les habitants du Monde des Douze vont avoir la pêche... dans le sang ! Il leur suffira d’une journée pour vider les rivières, les lacs et les mers ! Et si quelqu’un leur demande d’arrêter, ils se contenteront de répondre : « Arrête ? Y’a pas d’arêtes dans l’Boufsteak ! Y’en a dans l’pichon ! »"
2022-01-19,Eskarina est la Méryde de la curiosité. Elle nous pousse à nous intéresser à tout ce qui nous entoure. C’est grâce à elle si vous êtes parfois pris d’une irrépressible soif de connaissance. Et à cause d’elle si vous regardez dans les trous de serrures ou lisez le carnet intime de votre petite sœur !,"Beaucoup de parents éduquent leurs enfants en leur contant les différents accidents du ménestrel Francisque Kabroule. Celui-ci perdit, par exemple, l’usage de ses deux bras en se faisant écraser par les énormes cuisses de la Mama Koalak. Eh oui… la curiosité est un vilain défaut !","Aujourd’hui, les habitants du Monde des Douze vont se mêler de ce qui ne les regarde pas ! Pensez à boucher vos trous de serrures quand vous irez aux cabinets et à fermer à double tour votre boite à courrier... Car les murs auront des yeux et des oreilles durant toute la journée !"
2022-01-20,"Inkola est le Méryde de la contagion. Pour lui, la vie ne vaut pas la peine d’être vécue si l’on ne peut rien partager. Rires, larmes, bâillements, sentiments : approchez-vous un peu trop près et vous serez aussitôt contaminé ! Mais prenez garde, car les maladies, c’est son affaire aussi !","Pandiego de la Vega est un Pandawa de l’Ère du Wakfu. Grâce à ses talents d’inventeur, il est parvenu à endiguer la propagation des Soiffards. Un simple contact avec ces créatures suffit pour être transformé à son tour en monstre moitié arbre, moitié zombie... et entièrement bizarre !","Aujourd’hui, gare à la contamination ! Car les rats et autres parasites risquent de propager tout un tas d’infections ! Et si vous échappez malgré tout à la maladie, vous n’éviterez pas la peur de la contamination ! De quoi se laisser gagner par une folie contagieuse..."
2022-01-21,"Magikow est la Méryde des secrets. Sa mission, si elle l’accepte : protéger des rumeurs les petits vices cachés, empêcher que les confidences compromettantes ne s’ébruitent, ou taire l’ingrédient mystérieux du ragoût de Tofu de votre grand-tante. Autant dire que c’est mission impossible !","Tristepin et Evangelyne ont un secret bien gardé... Et s’il y a une chose qu’Amalia déteste, c’est de ne pas être au courant des derniers ragots ! Ah la la ! Si elle savait ! Mais elle a beau dire à Evangelyne « Vas-y, accouche ! », celle-ci n’est visiblement pas prête à cracher le morceau !","Aujourd’hui, que va-t-il se passer ? Chuuut ! C’est un secret… Le seul moyen de le savoir, c’est de le deviner. Alors, qu’allez-vous découvrir ? Un coffre caché ? Un secret de fabrication bien gardé ? Une rumeur au sujet de l’épi bien mûr de Farle Ingalsse ? Mystère..."
2022-01-22,"Danizzal est le Méryde des mauvaises herbes. Il a horreur des buissons bien taillés, des pelouses impeccables et des jardins où rien ne dépasse ! Alors, pour donner un peu de vie à tout ça, il dissémine ici et là des herbes coriaces et envahissantes. Pour le plus grand malheur des jardiniers !","Deserboss, le sbire-zombi de Nox, est du genre coriace ! On a beau s’en débarrasser encore et encore, il revient à chaque fois ! Et le jour où Evangelyne a voulu lui couper l’herbe sous le pied, elle a bien failli finir six pieds sous terre !","Aujourd’hui, le monde va prendre des airs de jungle sauvage ! Mais où sont donc passés les jardiniers ?! Impossible de mettre le nez dehors sans se prendre les pieds dans des liserons, ni marcher sur un chardon ! Ne vous laissez pas faire : faites-leur manger les pissenlits par la racine !"
2022-01-23,Kestra est la Méryde de la modestie. Elle nous empêche de prendre la grosse tête en cas de compliment ou de réussite. C’est grâce à elle si les meilleurs Eniripsas savent garder leur humilité et si les Srams ne se vantent jamais d’avoir réussi le casse du siècle !,"Boa est un Eliatrope qui vit sur l’île d’Emrub. De tous les enfants sous la garde du Dragon Baltazar, il est celui qui maîtrise le mieux l’art du Wakfung ! On lui a d’ailleurs proposé plusieurs fois le titre de « Maître », mais il ne s’est jamais estimé être à la hauteur d’un tel honneur…","Aujourd’hui, vous allez faire preuve d’humilité. Pas question d’avoir la tête comme une Citwouille, même en cas de succès ! Que vous soyez le meilleur des chasseurs ou le plus courageux des guerriers, jamais vous ne vous en vanterez !"
2022-01-24,"Shiva est le Méryde de la mollesse. Son aversion pour ce qui est dur le pousse à rendre tout aussi flasque qu’une Gelée ! Caramel mou, chiffe molle, fesse d’Enutrofette, son crédo : plus c’est mou, plus c’est chou ! Malheureusement pour les aventuriers, les coups de mou sont durs à encaisser…","Le Chêne Mou a beau être un arbre aussi vieux que le monde, ça ne l’empêche pas d’être encore bien vivant ! Il est peut-être parfois long à la détente, mais dès qu’on s’en prend à sa forêt, il réagit au quart de tour ! Et dans ces cas-là, ce sont ses ennemis qui se ramollissent !","Aujourd’hui, vous allez être mous du genou. Et pas que ! Démarche nonchalante, motivation nulle, air endormi : ce n’est pas aujourd’hui que vous ferez preuve d’énergie ! Au mieux, vous tuerez un ou deux mollusques pour votre repas du soir... Aurez-vous la force de les cuisiner ? Ça reste à voir..."
2022-01-25,"Billfer est le Méryde des cimetières. Il protège les sépultures en éloignant les pilleurs de tombes. Pour cela, il a une technique très efficace : il imite les cris des fantômes et répand une atmosphère lugubre là où reposent les défunts. À tel point que parfois, il lui arrive lui-même d’avoir peur !","Les Enutrofs, tels que Ruel Stroud, sont prêts à tout pour amasser les richesses ! Alors quand celui-ci apprend qu’il y a un trésor caché dans un cimetière à proximité, il va jusqu’à simuler sa propre mort pour pouvoir s’en emparer en toute discrétion. Une technique vraiment… mortelle !","Aujourd’hui, l’ambiance va être mortelle sur le Monde des Douze ! Si vous aviez prévu des tas d’activités, vous pouvez faire une croix dessus et définitivement les enterrer ! Car il y a fort à parier que le moindre bruit suspect vous dissuadera de sortir de votre lit de la journée..."
2022-01-26,"Pierrock est le Méryde de la solidité. Il a le corps et le cœur durs comme un crâne de Iop ! C’est lui qui donne leur résistance et leur fermeté aux choses : les boucliers des Fécas, la pâte à tarte de votre grand-mère, les dents de ceux qui comptent en manger... Et bien d’autres choses !","Les Craqueleurs sont très solides. Leur corps composé de roches en font des créatures aussi puissantes qu’indestructibles ! En revanche, s’ils sont capables de résister aux pires attaques, ils ne peuvent rien contre le charme des demoiselles : face à elles, leurs cœurs, eux, ne sont pas de pierre...","Aujourd’hui, le monde sera solide comme un roc ! Vos armes ou plastrons ne craindront rien, pas même la plus tranchante des lames ! Attention tout de même, car les créatures elles aussi seront plus résistantes que d’ordinaire. Alors un conseil : si vous croisez une Gelée, passez votre chemin !"
2022-01-27,"Maribri est la Méryde de la vigueur. Elle offre aux gens l’énergie et l’ardeur dont ils ont besoin dans les moments les plus durs. Généralement, les jeunes aventurier(e)s sont les mieux pourvu(e)s. C’est grâce à elle s’ils savent prendre les choses en main et faire preuve de fermeté !","Trepanem est le guerrier le plus vigoureux de l’Hormonde, le terrain de jeu des Démons des Heures. Ça tombe bien, car pour s’enfuir de là-bas, il faut y être le champion ! Mais il ferait bien de conserver un peu d’énergie ! Car sur le Monde des 12, ce sont des admiratrices déchaînées qui l’attendent.","Aujourd’hui, vous allez être plein de vigueur ! De quoi augmenter votre endurance, dans toutes les circonstances... et ce jusqu'au bout de la nuit ! Et si vous voulez décupler les effets, faites une petite cure de vitamines, de céréales, et de produits laitiers !"
2022-01-28,"Koppapi est le Méryde des rats. Sa passion pour ces petits rongeurs est aussi grande que leur queue ! Il les aide à se multiplier et à proliférer. Rat d’égout, rat de bibliothèque, rat de laboratoire, rat d’opéra : il s’occupe de tous… et même des aventuriers qui s’ennuient comme des rats morts !","Alors qu’il s’enfuit de la prison de Bonta, Dodge, un Ecaflip de l’Âge des Dofus, se fait attaquer par le Sphincter Cell ! Le pauvre : si un groupe de Srams n’étaient pas venus à son secours, il aurait fini en casse-croûte pour Rats ! Le comble pour un Ecaflip...","Aujourd’hui, vous allez en avoir Rat le bol ! Les rongeurs envahiront le monde et lui donneront des airs d’égouts ! Sans parler de l’odeur répugnante qui règnera dans les rues... Voyez le bon côté des choses : c’est le jour idéal pour tester une vieille recette de ratgout !"
2022-01-29,"Krala est la Méryde de la laine. Grâce à elle, les Bouftous ne sont jamais nus (à part peut-être les Bouftounus), et les aventuriers peuvent se tricoter des Boufcoiffes, des Boufcapes… et même des vêtements un peu plus intimes ! Eh oui ! En hiver, toutes les parties du corps ont droit à leur confort !","Hugo Bélo est un Féca de l’Ère du Wakfu. Il passe son temps à s’occuper de son troupeau de Bouftous, et à tondre leur laine pour la revendre aux plus offrants ! On raconte même qu’il lui arrive de la tricoter ! Une rumeur qui a d’ailleurs tendance à lui mettre les nerfs en pelote !","Aujourd’hui, le monde va mettre sa petite laine ! Et ça tombe bien, car en cette saison, mieux vaut sortir couvert ! Durant cette journée, vous serez tout naturellement aiguillé vers les pâturages où l’on trouve le plus de Bouftous. Un sixième sens en quelque sorte. Ou juste un odorat développé..."
2022-01-30,"Lôrf est le Méryde du toucher. C’est grâce à lui si vous pouvez sentir la douceur de la chevelure de votre bien-aimé(e) sur la paume de votre main ou la rugosité de la peau des fesses de Bwork... Car oui, c’est aussi sa faute si vous ne pouvez vous empêcher de mettre vos mains partout !","Tâter la bourse d’une Enutrof sans son autorisation, ça peut vous coûter très cher...","Aujourd’hui, vous allez avoir les mains baladeuses ! Ce qui pourra s’avérer très utile pour retrouver votre chemin si vous vous perdez dans une forêt obscure. Ou si vous voulez juger la fermeté du fessier de votre voisin(e). Mais attention, car il/elle pourrait à son tour vérifier celle de vos joues..."
2022-01-31,"Teskirf est la Méryde de la fraîcheur. Pour exercer son pouvoir, elle parcourt le Monde des 12, en étendant sur lui ses ailes rafraichissantes. Autant dire qu’elle n’est guère appréciée durant la saison hivernale. Les Enutrofs, en revanche, la sollicitent beaucoup l’été, les jours de grosse canicule...","À l’Âge des Dofus, il n’est pas rare de suçoter des gelées menthe pour s’assurer d’avoir une haleine fraîche. Allen Déchakal est sans aucun doute le plus grand consommateur de ces friandises ! Il faut dire que sa fiancée refuse de lui parler s’il n’en avale pas d’abord un pot tout entier…","Aujourd’hui, les habitants du Monde des 12 vont avoir la fraîcheur de vivre ! Pendant que les plus jeunes feront des batailles de boules de neige en mâchouillant des feuilles de menthe, les Enutrofs, eux, tenteront de retrouver leur fraîcheur d’antan… sans succès, évidemment."
2022-02-01,"Tolgnas est le Méryde des larmes. Pour lui, la joie comme la tristesse sont des sentiments qui doivent être évacués. C’est pourquoi il les mélange à de l’eau salée, puis fait couler le tout des yeux des gens, goutte après goutte... C’est si poétique que ça donnerait presque envie de pleurer ! Pas vrai ?","Comme tous les Sacrieurs, Pym Eoliath a choisi la voie de la souffrance. Jamais on ne le verra pleurer parce qu’il est blessé, mais plutôt parce qu’il est en manque de coups ! Ou parce qu’il est condamné à errer dans l’Hormonde, loin de sa dulcinée… Sacrieur, mais pas insensible !","Aujourd’hui, préparez vos mouchoirs ! Car les cérémonies en l’honneur de la déesse Sacrieur ne manqueront pas de vous tirer une petite larme ! Alors ne vous privez pas ! Laissez-vous aller à de gros sanglots ! Vous verrez, ça va vous requinquer !"
2022-02-02,"Ruevas est la Méryde du goût. C’est grâce à elle si les papilles des gastronomes s’agitent au contact d’un Tofu-Burger bien gras ! Car les aliments insipides, elle déteste ça ! Mais bon, après tout, les goûts et les couleurs, ça ne se discute pas…","Malgré un nom et une apparence peu engageants, la soupe de Potchebliche Moussu est vraiment exquise ! Elle constitue d’ailleurs l’alimentation principale des gardes Sadidas, qui lui attribuent leur puissance au combat… Votre mamie vous avait bien dit que manger de la soupe rendait plus fort !","Aujourd’hui, votre palais va être servi ! Car à la Bouffe-Fête, on goûte et on déguste jusqu’à en perdre la tête ! Roulades de carne, cuisses de Bouftous faisandées, lait de Boufette fermenté et autres petits plaisirs au goût bien prononcé : vous ne sentirez plus votre langue à la fin de la journée !"
2022-02-03,"Marke est le Méryde de l’adresse. Sous son influence, le plus empoté des aventuriers se voit doté d’une habileté hors du commun ! Tir à l’arc au stand de la Foire du Trool ou jonglerie avec le service en porcelaine de Tata Ursule : rien ne lui résiste !","Pour régler un différend avec les pirates de HavrePort, les héros de la Confrérie du Tofu doivent remporter tous leurs défis : calcul mental, bras de fer ou encore tir d’adresse les yeux bandés ! Heureusement, Yugo maîtrise le tir d’énergie et peut même voir le Wakfu… les yeux fermés !","Aujourd’hui, vous allez jongler avec les difficultés ! Qu’importe la mission, pourvu qu’il y ait l’adresse. Saisir un Pichon à mains nues sans le laisser glisser ? Tailler un arc avec deux doigts en marchant à cloche-pied ? Fastoche !"
2022-02-04,"Eritem est le Méryde des engelures. Mais étrangement, il ne supporte pas le froid ! Aussi, lorsque les températures commencent à baisser, il frotte sa peau glacée contre celle des aventuriers, pour se réchauffer… ce qui provoque chez eux brûlures et gonflements ! Ça oui, il est vraiment gonflant !","Même les habitants de Frigost craignent les engelures ! Heureusement, Albert Paisse, guérisseur de l’Âge des Dofus, a tout ce qu’il faut pour venir à bout des doigts bleutés, des oreilles congelées et des orteils qui se décrochent ! Tant que leurs propriétaires pensent à les emmener avec eux, bien sûr…","Vous craignez les basses températures ? Vous avez bien raison ! Car aujourd’hui, il y a de quoi ! Peu importe où vous vous réfugiez, vous n’échapperez pas à la morsure du froid ! Alors, un conseil : ne sortez pas sans votre pommade contre les engelures, ou votre baume dermophyle frigostien !"
2022-02-05,"Val est la Méryde des promesses. Elle s’assure que chaque engagement pris sur le Monde des 12 soit bien respecté. Les « Promis ! » et autres « J’te jure ! », elle les transforme en fils transparents avec lesquels elle attache les aventuriers. De cette manière, ils tiennent leurs promesses… et vice-versa !","Après la mort de Grougaloragran, les héros de la Confrérie du Tofu scellent un pacte d’amitié secret. Grâce aux pouvoirs d’Adamaï et aux plumes du Tofu Az, ils promettent d’être toujours soudés, quoi qu’il arrive ! Qu’il pleuve, qu’il vente ou qu’il neige… ils finiront tous dans le Havre-Sac de Ruel !","Cette journée risque d’être prometteuse ! Il y a des signes qui ne trompent pas ! Le moindre bulbe planté sera la promesse d’une belle plante à venir. Le moindre baiser, la promesse d’un futur mariage. Et le moindre combat contre un Trool, la promesse de votre sang répandu sur le sol…"
2022-02-06,"Misdup est la Méryde de la simplicité. Pour elle, le bonheur réside dans les choses simples ! C’est pourquoi elle nous pousse à les apprécier autant qu’elle. Rien de mieux qu’un lait de Boufette chaud en hiver, une balade en forêt en été ou une discussion avec un Iop après une dure journée !","Il en faut peu pour être heureux, vraiment très peu pour être heureux ! Il suffit d’une bière et de quelques verres ! Youpi ! – Comptine Pandawa.","Aujourd’hui, vous vous contenterez d’un rien et apprécierez chaque moment simple du quotidien ! Une promenade dans une plaine verdoyante ou un combat réussi contre un Tofu inoffensif réussiront à vous satisfaire ! Les Iops l’ont bien compris : heureux sont les simples d’esprit !"
